id,name,region,primary_type,secondary_type
1,bulbasaur,Kanto,grass,poison
2,ivysaur,Kanto,grass,poison
3,venusaur,Kanto,grass,poison
4,charmander,Kanto,fire,
5,charmeleon,Kanto,fire,
6,charizard,Kanto,fire,flying
7,squirtle,Kanto,water,
8,wartortle,Kanto,water,
9,blastoise,Kanto,water,
10,caterpie,Kanto,bug,
11,metapod,Kanto,bug,
12,butterfree,Kanto,bug,flying
13,weedle,Kanto,bug,poison
14,kakuna,Kanto,bug,poison
15,beedrill,Kanto,bug,poison
16,pidgey,Kanto,normal,flying
17,pidgeotto,Kanto,normal,flying
18,pidgeot,Kanto,normal,flying
19,rattata,Kanto,normal,
20,raticate,Kanto,normal,
21,spearow,Kanto,normal,flying
22,fearow,Kanto,normal,flying
23,ekans,Kanto,poison,
24,arbok,Kanto,poison,
25,pikachu,Kanto,electric,
26,raichu,Kanto,electric,
27,sandshrew,Kanto,ground,
28,sandslash,Kanto,ground,
29,nidoran-f,Kanto,poison,
30,nidorina,Kanto,poison,
31,nidoqueen,Kanto,poison,ground
32,nidoran-m,Kanto,poison,
33,nidorino,Kanto,poison,
34,nidoking,Kanto,poison,ground
35,clefairy,Kanto,fairy,
36,clefable,Kanto,fairy,
37,vulpix,Kanto,fire,
38,ninetales,Kanto,fire,
39,jigglypuff,Kanto,normal,fairy
40,wigglytuff,Kanto,normal,fairy
41,zubat,Kanto,poison,flying
42,golbat,Kanto,poison,flying
43,oddish,Kanto,grass,poison
44,gloom,Kanto,grass,poison
45,vileplume,Kanto,grass,poison
46,paras,Kanto,bug,grass
47,parasect,Kanto,bug,grass
48,venonat,Kanto,bug,poison
49,venomoth,Kanto,bug,poison
50,diglett,Kanto,ground,
51,dugtrio,Kanto,ground,
52,meowth,Kanto,normal,
53,persian,Kanto,normal,
54,psyduck,Kanto,water,
55,golduck,Kanto,water,
56,mankey,Kanto,fighting,
57,primeape,Kanto,fighting,
58,growlithe,Kanto,fire,
59,arcanine,Kanto,fire,
60,poliwag,Kanto,water,
61,poliwhirl,Kanto,water,
62,poliwrath,Kanto,water,fighting
63,abra,Kanto,psychic,
64,kadabra,Kanto,psychic,
65,alakazam,Kanto,psychic,
66,machop,Kanto,fighting,
67,machoke,Kanto,fighting,
68,machamp,Kanto,fighting,
69,bellsprout,Kanto,grass,poison
70,weepinbell,Kanto,grass,poison
71,victreebel,Kanto,grass,poison
72,tentacool,Kanto,water,poison
73,tentacruel,Kanto,water,poison
74,geodude,Kanto,rock,ground
75,graveler,Kanto,rock,ground
76,golem,Kanto,rock,ground
77,ponyta,Kanto,fire,
78,rapidash,Kanto,fire,
79,slowpoke,Kanto,water,psychic
80,slowbro,Kanto,water,psychic
81,magnemite,Kanto,electric,steel
82,magneton,Kanto,electric,steel
83,farfetchd,Kanto,normal,flying
84,doduo,Kanto,normal,flying
85,dodrio,Kanto,normal,flying
86,seel,Kanto,water,
87,dewgong,Kanto,water,ice
88,grimer,Kanto,poison,
89,muk,Kanto,poison,
90,shellder,Kanto,water,
91,cloyster,Kanto,water,ice
92,gastly,Kanto,ghost,poison
93,haunter,Kanto,ghost,poison
94,gengar,Kanto,ghost,poison
95,onix,Kanto,rock,ground
96,drowzee,Kanto,psychic,
97,hypno,Kanto,psychic,
98,krabby,Kanto,water,
99,kingler,Kanto,water,
100,voltorb,Kanto,electric,
101,electrode,Kanto,electric,
102,exeggcute,Kanto,grass,psychic
103,exeggutor,Kanto,grass,psychic
104,cubone,Kanto,ground,
105,marowak,Kanto,ground,
106,hitmonlee,Kanto,fighting,
107,hitmonchan,Kanto,fighting,
108,lickitung,Kanto,normal,
109,koffing,Kanto,poison,
110,weezing,Kanto,poison,
111,rhyhorn,Kanto,ground,rock
112,rhydon,Kanto,ground,rock
113,chansey,Kanto,normal,
114,tangela,Kanto,grass,
